Comment,Designator,Footprint,LCSC Part #
BANKS,"J101, J102",HDR-SMD_14P-P1.27-V-M-R2-C7-LS5.3,C3975190
NASB0-S6701-TPH4,CN101,CONN-SMD_NXSB0-S67XX-XXH4,C367024
